Unnamed: 0,Manufacturer,Category,Screen,GPU,OS,CPU_core,CPU_frequency,RAM_GB,Storage_GB_SSD,Price,Screen_Size_inch,Weight_pounds
0,Acer,4,IPS Panel,2,1,5,1.6,8,256,978,14.0,3.527392
1,Dell,3,Full HD,1,1,3,2.0,4,256,634,15.600000000000001,4.850164
2,Dell,3,Full HD,1,1,7,2.7,8,256,946,15.600000000000001,4.850164
3,Dell,4,IPS Panel,2,1,5,1.6,8,128,1244,13.299999999999999,2.6896363999999995
4,HP,4,Full HD,2,1,7,1.8,8,256,837,15.600000000000001,4.210824199999999
5,Dell,3,Full HD,1,1,5,1.6,8,256,1016,15.600000000000001,4.850164
6,HP,3,Full HD,3,1,5,1.6,8,256,1117,15.600000000000001,4.629702
7,Acer,3,IPS Panel,2,1,5,1.6,4,256,866,15.0,4.850164
8,Dell,3,Full HD,1,1,5,2.5,4,256,812,15.600000000000001,5.070625999999999
9,Acer,3,IPS Panel,3,1,7,1.8,8,256,1068,15.0,4.850164
10,Dell,3,Full HD,1,1,7,1.8,8,256,975,15.600000000000001,4.6958405999999995
11,HP,3,Full HD,2,1,3,2.0,4,128,558,15.600000000000001,4.210824199999999
12,Asus,3,Full HD,2,2,3,2.0,4,256,527,15.600000000000001,4.40924
13,Dell,4,Full HD,2,1,5,1.6,8,256,1117,14.0,3.7478539999999994
14,Asus,3,Full HD,2,1,5,1.6,8,256,1195,14.0,3.0864679999999995
15,HP,3,Full HD,2,1,5,2.5,8,256,876,15.600000000000001,4.1005932
16,Dell,4,IPS Panel,1,1,7,1.8,8,256,1213,13.000000000000002,3.0864679999999995
17,Dell,3,Full HD,1,1,7,1.8,8,256,1105,15.600000000000001,4.850164
18,Dell,4,IPS Panel,2,1,5,1.6,8,256,1392,15.0,4.144685599999999
19,HP,3,Full HD,2,1,5,1.6,8,256,1092,14.0,3.5935305999999994
20,HP,4,IPS Panel,3,1,7,1.8,8,256,888,15.0,4.0344546
21,HP,3,Full HD,2,1,5,2.5,8,256,761,15.600000000000001,4.321055199999999
22,Dell,4,IPS Panel,2,1,7,1.8,8,256,2095,13.000000000000002,2.6675902
23,Dell,1,Full HD,3,1,5,2.5,8,256,1518,15.600000000000001,5.842242999999999
24,Asus,4,Full HD,2,1,7,2.7,8,256,1333,14.0,2.755775
25,Dell,3,Full HD,1,2,3,2.0,4,256,616,15.600000000000001,4.850164
26,Asus,3,Full HD,3,1,3,2.4,6,256,733,15.600000000000001,4.40924
27,HP,3,Full HD,1,1,7,2.7,8,256,913,15.600000000000001,4.210824199999999
28,HP,4,IPS Panel,3,1,7,2.7,8,256,1421,13.000000000000002,3.0423755999999993
29,HP,3,IPS Panel,3,1,5,2.5,6,256,837,14.0,4.105513381974248
